,id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,mths_since_last_delinq,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type,year
7471,9704734,11556878,19750,19750,19725.0,60 months,25.89,590.04,G,G3,10+ years,MORTGAGE,44000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,15.44,1,01/12/1999,0,20,6,18,0.0,0.0,10993.25,10979.34,2416.14,5251.9,59.0,3266.21,587.9178,01/02/2021,1829.12,01/07/2021,0.0,1,INDIVIDUAL,2019
7485,9696447,11548204,30000,30000,30000.0,36 months,14.98,1039.67,C,C3,9 years,OWN,320000.0,Verified,2019-12-01,Charged Off,n,home_improvement,7.37,2,01/05/1991,3,20,7,31,0.0,0.0,13410.41,13410.41,6739.03,3395.35,0.0,3276.03,32.7603,01/11/2020,1302.01,01/02/2021,0.0,1,INDIVIDUAL,2019
7505,9695487,11547573,2000,2000,2000.0,36 months,22.9,77.32,E,E4,< 1 year,RENT,50000.0,Not Verified,2019-12-01,Charged Off,n,other,9.53,1,01/12/2002,0,9,6,15,0.0,0.0,1146.5,1146.5,522.43,405.41,0.0,218.66,2.1866,01/12/2020,77.32,01/05/2021,0.0,1,INDIVIDUAL,2019
7510,9695363,11547459,19750,19750,19750.0,60 months,19.97,522.93,D,D5,5 years,MORTGAGE,45000.0,Source Verified,2019-12-01,Charged Off,n,credit_card,11.55,0,01/07/2003,4,77,7,19,0.0,0.0,9902.89,9902.89,2793.47,4004.42,0.0,3105.0,558.9,01/01/2021,522.93,01/06/2021,0.0,1,INDIVIDUAL,2019
7512,9695265,11547366,35000,35000,35000.0,60 months,19.97,926.71,D,D5,7 years,RENT,110000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,12.36,0,01/08/1989,1,73,8,17,0.0,0.0,9382.29,9382.29,1779.43,2853.92,0.0,4748.94,47.4894,01/05/2020,926.71,01/10/2020,0.0,1,INDIVIDUAL,2019
7517,9695043,11547158,11700,11700,11700.0,36 months,11.99,388.56,B,B3,10+ years,MORTGAGE,39288.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,19.73,0,01/06/1988,1,31,14,33,0.0,0.0,4078.34,4078.34,1959.49,760.33,0.0,1358.52,13.5852,01/07/2020,388.56,01/12/2020,0.0,1,INDIVIDUAL,2019
7523,9694869,11546995,6075,6075,6075.0,36 months,15.61,212.42,C,C4,10+ years,RENT,22000.0,Source Verified,2019-12-01,Charged Off,n,credit_card,30.66,0,01/03/1999,1,31,7,24,0.0,0.0,1699.16,1699.16,1116.9,582.26,0.0,0.0,0.0,01/08/2020,212.42,01/01/2022,0.0,1,INDIVIDUAL,2019
7566,9684588,11536740,14575,14575,14575.0,36 months,17.57,523.79,D,D2,10+ years,RENT,150000.0,Verified,2019-12-01,Charged Off,n,other,12.58,1,01/06/1998,1,9,13,43,0.0,0.0,4957.24,4957.24,1930.8,1210.2,0.0,1816.24,18.1624,01/06/2020,523.79,01/05/2021,0.0,1,INDIVIDUAL,2019
7576,9676505,11528264,25000,25000,25000.0,36 months,22.9,966.45,E,E4,3 years,RENT,61000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,10.62,0,01/03/2005,3,31,16,20,0.0,0.0,1929.82,1929.82,986.5,943.32,0.0,0.0,0.0,01/02/2020,966.45,01/01/2022,0.0,1,INDIVIDUAL,2019
7583,9676233,11528059,9450,9450,9450.0,36 months,14.98,327.5,C,C3,10+ years,MORTGAGE,70000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,27.36,0,01/04/1999,0,47,10,15,0.0,0.0,1963.62,1963.62,1296.2,667.42,0.0,0.0,0.0,01/07/2020,327.5,01/01/2022,0.0,1,INDIVIDUAL,2019
7596,9675440,11527542,26000,12000,25975.0,36 months,7.9,813.55,A,A4,1 year,MORTGAGE,120000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,4.87,0,01/05/2002,1,31,10,29,0.0,0.0,12256.4,12244.62,7993.0,1768.42,0.0,2494.98,449.0964,01/12/2020,813.55,01/05/2021,0.0,1,INDIVIDUAL,2019
7603,9675238,11527345,9950,9950,9950.0,36 months,16.99,354.7,D,D1,3 years,OWN,160000.0,Source Verified,2019-12-01,Charged Off,n,home_improvement,5.47,0,01/12/1999,0,37,9,15,0.0,0.0,6384.6,6384.6,4348.94,2035.66,0.0,0.0,0.0,01/06/2021,354.7,01/12/2021,1.0,1,INDIVIDUAL,2019
7609,9675052,11527174,6000,6000,6000.0,36 months,7.9,187.75,A,A4,10+ years,MORTGAGE,45000.0,Not Verified,2019-12-01,Charged Off,n,credit_card,21.2,0,01/02/2003,0,31,10,24,0.0,0.0,1298.64,1298.64,148.25,39.5,0.0,1110.89,199.9602,01/01/2020,187.75,01/01/2022,0.0,1,INDIVIDUAL,2019
7610,9674967,11527096,12250,12250,12250.0,36 months,18.25,444.41,D,D3,7 years,MORTGAGE,45000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,12.29,0,01/11/2000,1,31,6,6,0.0,0.0,6221.26,6221.26,3993.11,2228.15,0.0,0.0,0.0,01/02/2021,444.41,01/01/2022,0.0,1,INDIVIDUAL,2019
7648,9665473,11517571,15000,15000,15000.0,36 months,12.85,504.33,B,B4,10+ years,MORTGAGE,125000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,8.45,0,01/07/1983,0,46,11,22,0.0,0.0,7549.68,7549.68,4375.94,1675.56,0.0,1498.18,269.6724,01/12/2020,504.33,01/05/2021,0.0,1,INDIVIDUAL,2019
7652,9665308,11517426,3000,3000,3000.0,36 months,18.25,108.84,D,D3,< 1 year,RENT,10000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,26.53,0,01/09/2007,0,31,5,24,0.0,0.0,1893.78,1893.78,977.86,545.58,0.0,370.34,66.6612,01/02/2021,108.84,01/07/2021,0.0,1,INDIVIDUAL,2019
7653,9665262,11517383,35000,35000,35000.0,36 months,14.98,1212.95,C,C3,2 years,RENT,160000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,8.37,2,01/11/1997,0,2,20,40,0.0,0.0,21932.7,21932.7,15553.99,6378.71,0.0,0.0,0.0,01/09/2021,25.0,01/01/2022,0.0,1,INDIVIDUAL,2019
7654,9665219,11517343,2100,2100,2100.0,36 months,13.507328482328484,74.08,C,C5,10+ years,OWN,40000.0,Not Verified,2019-12-01,Charged Off,n,credit_card,25.44,0,01/01/1996,1,40,14,34,0.0,0.0,814.8,814.8,537.61,277.19,0.0,0.0,0.0,01/11/2020,74.08,01/01/2022,0.0,1,INDIVIDUAL,2019
7674,9656648,11508396,10000,10000,10000.0,36 months,13.53,339.5,B,B5,10+ years,OWN,48000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,11.65,2,01/10/2002,1,23,6,12,0.0,0.0,7270.43,7270.43,4497.2,1613.79,0.0,1159.44,208.6992,01/07/2021,339.5,01/09/2021,0.0,1,INDIVIDUAL,2019
7677,9656516,11508284,20000,20000,20000.0,36 months,22.9,562.67,E,E4,10+ years,MORTGAGE,109000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,24.0,1,01/11/2001,1,18,14,20,0.0,0.0,3376.02,3376.02,1139.17,2236.85,0.0,0.0,0.0,01/06/2020,562.67,01/01/2022,0.0,1,INDIVIDUAL,2019
7687,9656225,11508046,35000,35000,35000.0,60 months,15.61,843.9,C,C4,10+ years,MORTGAGE,750000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,2.54,2,01/01/1993,1,6,13,35,0.0,0.0,18575.09,18575.09,6862.59,6639.39,0.0,5073.11,913.1598,01/04/2021,843.9,01/09/2021,0.0,1,INDIVIDUAL,2019
7694,9655630,11507719,10750,12000,10750.0,60 months,13.507328482328484,274.45,D,D3,10+ years,RENT,41000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,10.71,0,01/01/2004,0,57,5,13,0.0,0.0,5049.1,5049.1,1188.53,1555.53,0.0,2305.04,414.9072,01/10/2020,274.45,01/01/2021,0.0,1,INDIVIDUAL,2019
7706,9655223,11507338,7200,7200,7200.0,36 months,15.61,251.75,C,C4,6 years,RENT,42000.0,Source Verified,2019-12-01,Charged Off,n,major_purchase,31.97,0,01/01/2006,0,31,10,32,0.0,0.0,4585.07,4585.07,3438.17,1131.9,15.0,0.0,0.0,01/03/2021,826.52,01/01/2022,0.0,1,INDIVIDUAL,2019
7707,9655213,11507329,8000,8000,8000.0,36 months,12.85,268.98,B,B4,1 year,RENT,35000.0,Not Verified,2019-12-01,Charged Off,n,credit_card,10.46,0,01/04/2006,1,72,9,14,0.0,0.0,2151.84,2151.84,1522.66,629.18,0.0,0.0,0.0,01/08/2020,268.98,01/01/2022,0.0,1,INDIVIDUAL,2019
7728,9654831,11506962,12000,12000,12000.0,60 months,21.48,327.89,E,E2,7 years,RENT,60000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,12.64,0,01/11/2008,0,35,4,11,0.0,0.0,3276.7,3276.7,583.83,1055.36,0.0,1637.51,16.3751,01/06/2020,655.78,01/10/2020,0.0,1,INDIVIDUAL,2019
7729,9654813,11506944,28000,28000,27875.0,36 months,13.507328482328484,889.09,A,A5,10+ years,MORTGAGE,90000.0,Verified,2019-12-01,Charged Off,n,credit_card,22.43,0,01/02/1991,2,31,11,23,0.0,0.0,16889.29,16813.89,13846.05,3043.24,0.0,0.0,0.0,01/07/2021,889.09,01/01/2022,0.0,1,INDIVIDUAL,2019
7740,9646563,11498342,10900,12000,10900.0,60 months,16.99,270.84,D,D1,10+ years,MORTGAGE,48000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,19.15,0,01/10/1999,1,32,13,34,0.0,0.0,2166.14,2166.14,979.38,1186.76,0.0,0.0,0.0,01/08/2020,270.84,01/01/2022,0.0,1,INDIVIDUAL,2019
7745,9646509,11498289,8875,8875,8875.0,36 months,14.98,307.57,C,C3,3 years,MORTGAGE,54000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,8.4,2,01/02/1998,1,4,7,14,0.0,0.0,4803.23,4803.23,2081.17,993.07,0.0,1728.99,311.2182,01/10/2020,307.57,01/02/2021,0.0,1,INDIVIDUAL,2019
7758,9646098,11497986,3000,3000,3000.0,36 months,13.98,102.51,C,C1,< 1 year,RENT,65000.0,Not Verified,2019-12-01,Charged Off,n,debt_consolidation,13.66,0,01/07/2003,3,31,10,37,0.0,0.0,1332.25,1332.25,942.12,390.13,0.0,0.0,0.0,01/01/2021,102.51,01/01/2022,0.0,1,INDIVIDUAL,2019
7772,9645480,11497588,3300,3300,3300.0,36 months,16.99,117.64,D,D1,8 years,RENT,39000.0,Not Verified,2019-12-01,Charged Off,n,debt_consolidation,27.08,0,01/07/2001,0,24,13,35,0.0,0.0,2318.19,2318.19,1371.75,606.59,0.0,339.85,61.173,01/05/2021,100.0,01/07/2021,0.0,1,INDIVIDUAL,2019
7785,9644937,11497075,5125,5125,5125.0,36 months,14.98,177.61,C,C3,2 years,RENT,29970.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,21.59,0,01/11/1996,1,31,9,30,0.0,0.0,1776.1,1776.1,1202.33,573.77,0.0,0.0,0.0,01/10/2020,177.61,01/01/2022,0.0,1,INDIVIDUAL,2019
7790,9644832,11496977,8000,8000,8000.0,36 months,10.99,261.88,B,B2,5 years,MORTGAGE,43000.0,Verified,2019-12-01,Charged Off,n,credit_card,13.79,1,01/12/2003,0,4,9,13,0.0,0.0,4975.72,4975.72,3894.94,1080.78,0.0,0.0,0.0,01/07/2021,261.88,01/01/2022,0.0,1,INDIVIDUAL,2019
7795,9644669,11496816,10000,10000,10000.0,36 months,14.47,344.07,C,C2,3 years,RENT,35000.0,Not Verified,2019-12-01,Charged Off,n,other,22.29,0,01/08/2006,0,31,4,8,0.0,0.0,1376.28,1376.28,910.25,466.03,0.0,0.0,0.0,01/05/2020,344.07,01/01/2022,0.0,1,INDIVIDUAL,2019
7799,9644570,11496722,8000,8000,8000.0,36 months,16.99,285.19,D,D1,6 years,MORTGAGE,33640.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,33.64,0,01/05/2008,1,31,20,23,0.0,0.0,4100.05,4100.05,1637.63,928.64,0.0,1533.78,276.0804,01/09/2020,285.19,01/12/2020,0.0,1,INDIVIDUAL,2019
7818,9634677,11486819,14000,14000,14000.0,36 months,12.85,470.71,B,B4,10+ years,MORTGAGE,118200.0,Not Verified,2019-12-01,Charged Off,n,debt_consolidation,10.53,2,01/05/1997,1,8,11,33,0.0,0.0,7531.04,7531.04,5566.03,1965.01,0.0,0.0,0.0,01/04/2021,470.71,01/01/2022,0.0,1,INDIVIDUAL,2019
7827,9624914,11477052,10000,10000,10000.0,60 months,23.4,284.21,E,E5,1 year,RENT,30000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,22.14,0,01/10/1999,0,31,5,21,0.0,0.0,3899.25,3899.25,868.41,1689.36,0.0,1341.48,13.4148,01/10/2020,284.21,01/02/2021,0.0,1,INDIVIDUAL,2019
7842,9624580,11476731,29175,29175,29175.0,60 months,17.57,734.05,D,D2,10+ years,MORTGAGE,65000.0,Verified,2019-12-01,Charged Off,n,credit_card,17.01,0,01/07/1996,0,31,14,36,0.0,0.0,8805.76,8805.76,3992.87,4812.89,0.0,0.0,0.0,01/12/2020,734.05,01/01/2022,0.0,1,INDIVIDUAL,2019
7843,9614977,11467106,11000,11000,11000.0,36 months,14.98,381.22,C,C3,10+ years,OWN,50000.0,Verified,2019-12-01,Charged Off,n,credit_card,20.4,0,01/02/1997,2,31,14,22,0.0,0.0,7243.18,7243.18,5193.55,2049.63,0.0,0.0,0.0,01/08/2021,381.22,01/01/2022,0.0,1,INDIVIDUAL,2019
7858,9604941,11457064,34475,34475,34475.0,60 months,19.97,912.81,D,D5,10+ years,RENT,80000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,24.31,0,01/03/2000,1,31,12,18,0.0,0.0,14846.02,14846.02,4056.23,6440.34,0.0,4349.45,782.901,01/01/2021,456.0,01/04/2021,0.0,1,INDIVIDUAL,2019
7874,9595014,11447140,7750,7750,7750.0,36 months,16.24,273.39,C,C5,7 years,RENT,75000.0,Not Verified,2019-12-01,Charged Off,n,debt_consolidation,12.5,2,01/12/1978,1,5,9,25,0.0,0.0,4647.43,4647.43,3118.25,1529.18,0.0,0.0,0.0,01/07/2021,273.39,01/01/2022,0.0,1,INDIVIDUAL,2019
7886,9464620,11296771,15000,15000,15000.0,36 months,19.22,551.52,D,D4,4 years,RENT,58000.0,Verified,2019-12-01,Charged Off,n,house,23.44,0,01/05/2008,2,31,8,18,0.0,0.0,3860.22,3860.22,2286.19,1574.03,0.0,0.0,0.0,01/07/2020,551.52,01/01/2022,0.0,1,INDIVIDUAL,2019
7892,9594672,11446816,7375,7375,7375.0,36 months,13.53,250.38,B,B5,7 years,MORTGAGE,56000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,9.3,0,01/10/1993,0,31,7,30,0.0,0.0,4802.98,4802.98,2912.54,1091.0,0.0,799.44,143.8992,01/05/2021,250.38,01/09/2021,0.0,1,INDIVIDUAL,2019
7897,9584918,11437045,12000,12000,12000.0,36 months,12.85,403.47,B,B4,10+ years,RENT,36000.0,Verified,2019-12-01,Charged Off,n,credit_card,12.2,0,01/09/2006,0,31,4,15,0.0,0.0,3513.81,3513.81,1404.32,612.61,0.0,1496.88,14.9688,01/06/2020,403.47,01/10/2020,0.0,1,INDIVIDUAL,2019
7918,9574678,11426822,16000,16000,16000.0,36 months,15.61,385.79,C,C4,5 years,OWN,63360.0,Verified,2019-12-01,Charged Off,n,credit_card,18.67,0,01/02/2004,3,31,15,21,0.0,0.0,3694.24,3694.24,724.61,818.55,0.0,2151.08,21.5108,01/04/2020,385.79,01/09/2020,0.0,1,INDIVIDUAL,2019
7925,9564924,11417053,16825,12000,16825.0,36 months,21.48,638.04,E,E2,7 years,RENT,55000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,14.05,0,01/10/2001,1,31,8,12,0.0,0.0,5103.14,5103.14,2869.37,2233.77,0.0,0.0,0.0,01/08/2020,638.04,01/01/2022,0.0,1,INDIVIDUAL,2019
7936,9564613,11416762,4925,4925,4925.0,36 months,13.98,168.28,C,C1,10+ years,MORTGAGE,59000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,20.6,0,01/08/1980,0,31,12,29,0.0,0.0,1609.97,1609.97,684.91,324.47,0.0,600.59,6.0059,01/06/2020,168.28,01/11/2020,0.0,1,INDIVIDUAL,2019
7954,9544968,11397091,5000,5000,5000.0,36 months,13.507328482328484,169.75,B,B5,10+ years,RENT,29556.0,Not Verified,2019-12-01,Charged Off,n,debt_consolidation,15.27,0,01/09/1985,0,31,7,16,0.0,0.0,1017.88,1017.88,699.3,318.58,0.0,0.0,0.0,01/06/2020,169.75,01/01/2022,0.0,1,INDIVIDUAL,2019
7990,9524955,11377088,24000,24000,24000.0,60 months,20.5,642.55,E,E1,10+ years,OWN,120000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,10.96,3,01/09/1996,1,14,17,42,0.0,0.0,7684.83,7684.83,1713.69,2784.16,0.0,3186.98,31.8698,01/07/2020,642.55,01/12/2020,0.0,1,INDIVIDUAL,2019
8000,9524598,11376749,7750,7750,7750.0,36 months,16.24,273.39,C,C5,2 years,RENT,36000.0,Not Verified,2019-12-01,Charged Off,n,debt_consolidation,20.43,0,01/08/2008,0,31,8,12,0.0,0.0,4662.45,4662.45,3193.87,1453.58,15.0,0.0,0.0,01/05/2021,561.78,01/01/2022,0.0,1,INDIVIDUAL,2019
8014,9494641,11326806,8000,8000,8000.0,36 months,13.53,271.6,B,B5,9 years,MORTGAGE,43000.0,Verified,2019-12-01,Charged Off,n,credit_card,7.42,0,01/05/1993,2,31,9,33,0.0,0.0,8587.63,8587.63,1313.57,587.63,0.0,6686.43,1203.5574,01/08/2020,271.6,01/01/2022,0.0,1,INDIVIDUAL,2019
8026,9485089,11317198,5300,5300,5300.0,36 months,12.85,178.2,B,B4,8 years,RENT,40000.0,Not Verified,2019-12-01,Charged Off,n,credit_card,18.87,0,01/08/1995,0,31,10,26,0.0,0.0,2032.6,2032.6,1008.66,416.78,0.0,607.16,6.071599997,01/08/2020,178.2,01/02/2021,0.0,1,INDIVIDUAL,2019
8032,9484965,11317086,8500,8500,8475.0,36 months,15.61,297.21,C,C4,3 years,MORTGAGE,51500.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,25.84,0,01/11/2000,1,70,8,12,0.0,0.0,5943.32,5925.85,4231.6,1711.72,0.0,0.0,0.0,01/08/2021,297.21,01/01/2022,0.0,1,INDIVIDUAL,2019
8035,9484748,11316882,28000,28000,28000.0,36 months,11.99,929.87,B,B3,6 years,RENT,115000.0,Source Verified,2019-12-01,Charged Off,n,credit_card,12.0,0,01/01/2000,0,31,8,19,0.0,0.0,6412.81,6412.81,1969.64,819.65,0.0,3623.52,36.23519999,01/03/2020,929.87,01/08/2020,0.0,1,INDIVIDUAL,2019
8047,9475224,11307331,25000,12000,25000.0,36 months,24.08,981.88,F,F2,4 years,MORTGAGE,92000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,12.5,1,01/01/1994,2,14,17,40,0.0,0.0,16545.02,16545.02,7052.12,5711.38,0.0,3781.52,680.6736,01/01/2021,981.88,01/06/2021,0.0,1,INDIVIDUAL,2019
8057,9474931,11307059,10000,10000,10000.0,36 months,14.98,237.8,C,C3,10+ years,MORTGAGE,83884.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,6.78,4,01/05/1999,1,1,6,27,0.0,0.0,4605.07,4605.07,1472.23,1619.17,0.0,1513.67,15.1367,01/02/2021,237.8,01/06/2021,0.0,1,INDIVIDUAL,2019
8086,9454789,11286925,7200,12000,7200.0,36 months,9.67,231.21,B,B1,2 years,RENT,47000.0,Not Verified,2019-12-01,Charged Off,n,debt_consolidation,11.72,0,01/12/2007,0,31,7,8,0.0,0.0,4623.6,4623.6,3741.79,881.81,0.0,0.0,0.0,01/08/2021,231.21,01/01/2022,0.0,1,INDIVIDUAL,2019
8092,9454667,11286814,19000,19000,19000.0,36 months,13.507328482328484,658.46,C,C3,8 years,RENT,70000.0,Not Verified,2019-12-01,Charged Off,n,debt_consolidation,15.74,1,01/11/1990,2,10,11,14,0.0,0.0,8559.5,8559.5,5905.86,2653.64,0.0,0.0,0.0,01/01/2021,658.46,01/01/2022,0.0,1,INDIVIDUAL,2019
8096,9445275,11277396,19750,19750,19750.0,36 months,14.98,684.45,C,C3,10+ years,MORTGAGE,45000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,30.88,0,01/12/2001,1,70,9,58,0.0,0.0,12320.1,12320.1,8777.03,3543.07,0.0,0.0,0.0,01/06/2021,684.45,01/12/2021,0.0,1,INDIVIDUAL,2019
8097,9445270,11277392,8000,8000,8000.0,36 months,14.98,277.25,C,C3,4 years,RENT,24000.0,Not Verified,2019-12-01,Charged Off,n,debt_consolidation,10.85,0,01/05/2002,0,31,4,13,0.0,0.0,1128.33,1128.33,0.0,0.0,0.0,1128.33,11.2833,01/01/2022,0.0,01/05/2020,0.0,1,INDIVIDUAL,2019
8098,9445226,11277350,5000,5000,5000.0,36 months,13.98,170.84,C,C1,1 year,RENT,72000.0,Not Verified,2019-12-01,Charged Off,n,moving,22.44,0,01/06/2007,2,31,12,17,0.0,0.0,1878.46,1878.46,1312.7,565.76,0.0,0.0,0.0,01/11/2020,170.84,01/01/2022,0.0,1,INDIVIDUAL,2019
8130,9434621,11266768,20000,20000,20000.0,36 months,10.99,654.68,B,B2,9 years,MORTGAGE,65000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,11.04,3,01/08/2000,0,10,17,31,0.0,0.0,12663.92,12663.92,9736.94,2926.98,0.0,0.0,0.0,01/11/2021,125.0,01/01/2022,0.0,1,INDIVIDUAL,2019
8133,9434592,11266739,2500,2500,2500.0,36 months,23.7,97.69,F,F1,9 years,OWN,34000.0,Not Verified,2019-12-01,Charged Off,n,other,20.97,0,01/10/2001,0,31,10,21,0.0,0.0,390.1,390.1,198.73,191.37,0.0,0.0,0.0,01/04/2020,97.69,01/01/2022,0.0,1,INDIVIDUAL,2019
8149,9424773,11256917,25050,25050,25050.0,60 months,15.61,603.99,C,C4,10+ years,MORTGAGE,70000.0,Source Verified,2019-12-01,Charged Off,n,credit_card,30.69,1,01/04/2001,1,15,13,31,0.0,0.0,5220.44,5220.44,845.28,966.65,0.0,3408.51,34.0851,01/03/2020,603.99,01/08/2020,0.0,1,INDIVIDUAL,2019
8154,9424675,11256822,6000,6000,6000.0,36 months,13.53,203.7,B,B5,1 year,RENT,31200.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,24.12,0,01/05/2006,0,31,7,9,0.0,0.0,2318.44,2318.44,1074.43,553.15,0.0,690.86,6.908599997,01/09/2020,203.7,01/01/2021,0.0,1,INDIVIDUAL,2019
8170,9414747,11246887,21000,21000,21000.0,60 months,17.57,528.37,D,D2,3 years,MORTGAGE,88000.0,Verified,2019-12-01,Charged Off,n,credit_card,15.06,0,01/02/1995,3,41,8,20,0.0,0.0,9510.54,9510.54,4511.76,4998.78,0.0,0.0,0.0,01/06/2021,528.37,01/01/2022,0.0,1,INDIVIDUAL,2019
8180,9414583,11246734,35000,35000,35000.0,36 months,17.57,1257.8,D,D2,10+ years,MORTGAGE,120000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,10.74,1,01/09/1987,1,13,7,16,0.0,0.0,22639.96,22639.96,14199.57,8377.5,62.89,0.0,0.0,01/09/2021,1257.8,01/12/2021,0.0,1,INDIVIDUAL,2019
8187,9404949,11237068,30000,30000,30000.0,60 months,19.97,794.32,D,D5,10+ years,RENT,85200.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,23.17,0,01/02/1997,1,37,26,47,0.0,0.0,11086.77,11086.77,2839.37,4309.31,0.0,3938.09,39.3809,01/09/2020,794.32,01/02/2021,0.0,1,INDIVIDUAL,2019
8188,9404933,11237053,31300,31300,31300.0,36 months,16.99,1115.78,D,D1,9 years,MORTGAGE,250000.0,Verified,2019-12-01,Charged Off,n,small_business,10.94,1,01/10/1996,0,10,25,51,0.0,0.0,11549.92,11549.92,4913.11,2897.3,0.0,3739.51,37.3951,01/08/2020,1115.78,01/12/2020,0.0,1,INDIVIDUAL,2019
8190,9404916,11237037,26500,26500,26500.0,60 months,22.4,737.95,E,E3,10+ years,MORTGAGE,88200.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,14.29,1,01/08/1999,1,19,15,40,0.0,0.0,14020.83,14020.83,5487.51,8533.32,0.0,0.0,0.0,01/07/2021,737.95,01/01/2022,0.0,1,INDIVIDUAL,2019
8212,9394955,11227074,14400,14400,14400.0,60 months,15.61,347.21,C,C4,10+ years,RENT,54000.0,Source Verified,2019-12-01,Charged Off,n,credit_card,18.91,0,01/12/1993,1,60,8,26,0.0,0.0,5555.16,5555.16,2823.55,2731.61,0.0,0.0,0.0,01/04/2021,347.21,01/01/2022,0.0,1,INDIVIDUAL,2019
8218,9394913,11227034,35000,35000,35000.0,60 months,19.97,926.71,D,D5,9 years,MORTGAGE,125000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,23.96,0,01/01/1999,0,31,12,25,0.0,0.0,18421.29,18421.29,5376.5,7597.06,15.0,5432.73,977.8914,01/03/2021,15.56,01/07/2021,0.0,1,INDIVIDUAL,2019
8221,9394867,11226991,18000,12000,17850.0,36 months,8.9,571.56,A,A5,10+ years,MORTGAGE,50000.0,Verified,2019-12-01,Charged Off,n,credit_card,29.04,1,01/01/1992,0,21,10,22,0.0,0.0,8570.52,8499.12,6921.04,1649.48,0.0,0.0,0.0,01/03/2021,571.56,01/01/2022,0.0,1,INDIVIDUAL,2019
8241,9385035,11217158,18200,18200,18200.0,60 months,14.47,427.93,C,C2,9 years,OWN,44000.0,Verified,2019-12-01,Charged Off,n,debt_consolidation,10.39,0,01/11/2001,0,31,9,28,0.0,0.0,6549.73,6549.73,2200.04,2076.24,0.0,2273.45,409.221,01/10/2020,427.93,01/03/2021,0.0,1,INDIVIDUAL,2019
8242,9384977,11217104,35000,35000,35000.0,36 months,11.99,1162.34,B,B3,4 years,MORTGAGE,82000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,17.0,0,01/06/1994,0,31,7,26,0.0,0.0,19759.78,19759.78,14976.14,4783.64,0.0,0.0,0.0,01/05/2021,1162.34,01/12/2021,0.0,1,INDIVIDUAL,2019
8253,9384743,11216885,15000,15000,15000.0,60 months,17.57,377.41,D,D2,10+ years,MORTGAGE,90000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,23.04,0,01/11/1997,1,31,20,29,0.0,0.0,6388.27,6388.27,2052.33,2473.61,0.0,1862.33,335.2194,01/12/2020,377.41,01/05/2021,0.0,1,INDIVIDUAL,2019
8272,9374901,11207034,10750,10750,10750.0,60 months,19.22,280.17,D,D4,9 years,MORTGAGE,75000.0,Source Verified,2019-12-01,Charged Off,n,debt_consolidation,5.36,1,01/08/1998,1,21,10,24,0.0,0.0,4482.58,4482.58,1951.71,2530.87,0.0,0.0,0.0,01/04/2021,280.17,01/01/2022,0.0,1,INDIVIDUAL,2019
